id_date,date,AUD=,BRL=,CAD=,CNY=,EUR=,GBP=,HKD=,IDR=,INR=,JPY=,KRW=,LKR=,MYR=,NZD=,PHP=,RUB=,SGD=,THB=,TRY=,VND=
20101124,2010-11-24,0.9822,1.7205,1.0107,NULL,1.3329,1.5777,7.759,8960,45.705,83.55,1146.95,111.2,3.135,0.7598,43.98,NULL,1.309,30,1.479,19495
20101125,2010-11-25,0.9803,1.7206,1.0094,6.6495,1.3361,1.5759,7.7595,8965,45.555,83.57,1141.65,111.25,3.13,0.7593,44.07,NULL,1.3062,30.04,1.47,19495
20101126,2010-11-26,0.9644,1.7264,1.0202,6.6675,1.324,1.5591,7.7641,9000,45.815,84.1,1153.95,111.42,3.1525,0.75,44.1,NULL,1.3197,30.23,1.4822,19495
20101129,2010-11-29,0.9631,1.7178,1.0178,6.66,1.3118,1.5573,7.7656,9013,45.8,84.21,1164,111.4,3.15,0.7468,44.25,NULL,1.3194,30.19,1.5037,19495
20101130,2010-11-30,0.9575,1.7145,1.0263,6.667,1.2977,1.5551,7.7648,9029,45.78,83.67,1157,111.35,3.165,0.7424,44.05,31.5316,1.32,30.15,1.5041,19498
20101201,2010-12-01,0.9689,1.705,1.0166,6.663,1.3142,1.5627,7.7684,9017,45.27,84.19,1149,111.14,3.15,0.7495,43.59,31.349,1.3087,30.03,1.488,19495
20101202,2010-12-02,0.9756,1.6955,1.0034,6.6609,1.3224,1.5604,7.7661,9013,45.13,83.87,1148,111.22,3.151,0.754,43.65,31.201,1.3065,30,1.4829,19495
20101203,2010-12-03,0.9925,1.687,1.0036,6.6628,1.3414,1.5777,7.7625,9015,44.9,82.62,1136.5,111.23,3.146,0.7672,43.72,31.232,1.303,30.01,1.4752,19498
20101206,2010-12-06,0.9898,1.6744,1.0049,6.6483,1.3305,1.571,7.7609,9005,44.8,82.64,1137.2,111.15,3.143,0.7608,43.76,31.214,1.304,30,1.48,19498
20101207,2010-12-07,0.9839,1.6815,1.0117,6.6455,1.3263,1.5759,7.7621,9005,44.81,83.48,1132,111.1,3.143,0.7574,43.58,31.119,1.311,30,1.4828,19490
20101208,2010-12-08,0.9786,1.6893,1.0111,6.6616,1.3256,1.5804,7.7666,9018,45,84.03,1142.5,111,3.143,0.7469,43.65,31.034,1.3149,30.12,1.4935,19498
20101209,2010-12-09,0.9843,1.7092,1.0101,6.6549,1.3242,1.5768,7.7741,9014,45.13,83.68,1138,110.95,3.14,0.7493,43.56,30.9265,1.31,30.05,1.5098,19495
20101210,2010-12-10,0.9854,1.7061,1.0096,6.655,1.3233,1.5816,7.7732,9020,44.96,83.91,1143,110.9,3.131,0.748,43.65,30.9245,1.3072,30.06,1.5014,19490
20101213,2010-12-13,0.9951,1.693,1.008,6.6652,1.3389,1.5856,7.778,9015,45.18,83.4,1144.9,110.84,3.138,0.7549,43.75,30.712,1.3033,30.01,1.505,19498
20101214,2010-12-14,0.9991,1.6966,1.0065,6.6563,1.3384,1.5786,7.7719,9008,44.91,83.63,1139,110.85,3.127,0.7522,43.78,30.715,1.3022,30.02,1.5129,19490
