id_date,date,VNIVND1MD=,VNIVND1YD=,VNIVND2MD=,VNIVND2WD=,VNIVND3MD=,VNIVND6MD=,VNIVND9MD=,VNIVNDOND=,VNIVNDSWD=
20100607,2010-06-07,8.69,11.8,9.93,7.69,10.61,11.53,11.79,6.76,7.04
20100608,2010-06-08,8.65,11.83,9.91,7.63,10.66,11.59,11.81,6.56,6.98
20100609,2010-06-09,8.64,11.83,9.89,7.56,10.68,11.59,11.81,6.48,6.93
20100610,2010-06-10,8.58,11.83,9.84,7.52,10.68,11.59,11.81,6.38,6.89
20100611,2010-06-11,8.64,11.89,9.89,7.51,10.74,11.65,11.84,6.5,6.95
20100614,2010-06-14,8.58,11.81,9.79,7.52,10.63,11.56,11.75,6.53,6.94
20100615,2010-06-15,8.54,11.85,9.69,7.46,10.65,11.62,11.78,6.54,6.98
20100616,2010-06-16,8.51,11.8,9.63,7.5,10.58,11.49,11.71,6.5,6.97
20100617,2010-06-17,8.47,11.85,9.69,7.46,10.63,11.62,11.78,6.54,6.98
20100618,2010-06-18,8.44,11.85,9.65,7.51,10.55,11.59,11.78,6.56,7.01
20100621,2010-06-21,8.38,11.9,9.62,7.49,10.53,11.68,11.78,6.63,7
20100622,2010-06-22,8.38,11.9,9.63,7.5,10.53,11.68,11.78,6.63,6.98
20100623,2010-06-23,8.31,11.83,9.54,7.53,10.49,11.53,11.75,6.61,6.97
20100624,2010-06-24,8.31,11.83,9.57,7.53,10.41,11.53,11.75,6.61,7
20100625,2010-06-25,8.34,11.81,9.53,7.54,10.57,11.53,11.72,6.66,7
20100628,2010-06-28,8.38,11.85,9.6,7.59,10.55,11.59,11.78,6.66,7.06
20100629,2010-06-29,8.38,11.85,9.6,7.51,10.54,11.59,11.78,6.6,7
20100630,2010-06-30,8.38,11.85,9.6,7.53,10.54,11.59,11.78,6.56,7.03
20100701,2010-07-01,8.39,11.85,9.6,7.55,10.58,11.59,11.78,6.66,7.03
20100702,2010-07-02,8.34,11.89,9.6,7.54,10.58,11.67,11.82,6.69,7.03
20100705,2010-07-05,8.36,11.85,9.59,7.53,10.53,11.59,11.78,6.66,7.01
20100706,2010-07-06,8.31,11.83,9.53,7.5,10.51,11.53,11.75,6.61,7
20100707,2010-07-07,8.36,11.85,9.59,7.49,10.53,11.59,11.78,6.56,6.96
20100708,2010-07-08,8.36,11.85,9.6,7.5,10.53,11.59,11.78,6.53,6.96
20100709,2010-07-09,8.36,11.85,9.6,7.5,10.52,11.59,11.78,6.55,6.96
20100712,2010-07-12,8.36,11.85,9.6,7.51,10.52,11.59,11.78,6.55,6.96
20100713,2010-07-13,8.32,11.85,9.52,7.45,10.48,11.58,11.79,6.57,6.95
20100714,2010-07-14,8.36,11.84,9.63,7.53,10.52,11.59,11.76,6.53,6.96
20100715,2010-07-15,8.33,11.84,9.57,7.49,10.49,11.59,11.75,6.59,6.94
20100716,2010-07-16,8.33,11.84,9.57,7.46,10.49,11.59,11.75,6.59,6.94
20100719,2010-07-19,8.33,11.84,9.57,7.48,10.49,11.56,11.73,6.56,6.94
20100720,2010-07-20,8.33,11.84,9.52,7.53,10.43,11.53,11.73,6.6,7
20100721,2010-07-21,8.33,11.84,9.46,7.54,10.34,11.53,11.73,6.65,7.08
20100722,2010-07-22,8.28,11.78,9.33,7.53,10.33,11.38,11.67,6.65,7.07
20100723,2010-07-23,8.27,11.84,9.43,7.54,10.33,11.51,11.73,6.75,7.08
20100726,2010-07-26,8.27,11.81,9.43,7.54,10.33,11.5,11.71,6.75,7.1
