id_date,date,VND12MAV=,VND1MAV=,VND2MAV=,VND3MAV=,VND6MAV=,VND9MAV=
20080904,2008-09-04,NULL,16.5,NULL,16.75,NULL,NULL
20080905,2008-09-05,NULL,16.5,NULL,16.75,NULL,NULL
20080908,2008-09-08,NULL,16.5,NULL,16.75,NULL,NULL
20080909,2008-09-09,NULL,16.5,NULL,16.88,NULL,NULL
20080910,2008-09-10,NULL,16.5,NULL,16.88,NULL,NULL
20080911,2008-09-11,NULL,16.5,NULL,16.88,NULL,NULL
20080912,2008-09-12,NULL,16.5,NULL,16.88,NULL,NULL
20080918,2008-09-18,17.13,16.5,NULL,16.88,16.95,NULL
20080922,2008-09-22,17.13,16.5,NULL,16.88,16.95,NULL
20080930,2008-09-30,17.25,16.5,NULL,17,17.05,NULL
20081008,2008-10-08,17.25,16.5,NULL,17,17.05,NULL
20081015,2008-10-15,16.88,15.38,NULL,16.28,16.18,NULL
20081022,2008-10-22,16.63,15.25,NULL,15.83,16.05,NULL
20081104,2008-11-04,16,13.88,NULL,14.96,15.48,NULL
20081105,2008-11-05,15.25,13,NULL,14.46,14.98,NULL
20081117,2008-11-17,14.63,12.31,NULL,14,14.38,NULL
20081119,2008-11-19,14.03,11.38,NULL,13.63,13.88,NULL
20081121,2008-11-21,12.9,9.83,NULL,11.53,11.93,NULL
20081125,2008-11-25,11.78,8.7,NULL,10.03,10.58,NULL
20081205,2008-12-05,10.63,7.83,NULL,9.13,9.65,NULL
20081208,2008-12-08,10.5,7.7,NULL,8.88,9.53,NULL
20081209,2008-12-09,10.5,7.7,NULL,8.88,9.53,NULL
20081215,2008-12-15,10.63,7.45,NULL,8.88,9.25,NULL
20081222,2008-12-22,9.7,6.75,NULL,7.99,8.43,NULL
20090105,2009-01-05,6.08,6.5,NULL,7.87,8.3,NULL
20090106,2009-01-06,5.83,6.5,NULL,7.87,8.18,NULL
20090108,2009-01-08,5.83,6.5,NULL,7.87,8.18,NULL
20090109,2009-01-09,7.58,6.13,NULL,7.49,7.61,NULL
20090113,2009-01-13,7.45,6.13,NULL,7.24,7.36,NULL
20090116,2009-01-16,7.45,6.13,NULL,7.24,7.36,NULL
20090120,2009-01-20,7.33,5.75,NULL,6.74,7.11,NULL
20090203,2009-02-03,7.45,5.63,NULL,6.54,6.85,NULL
20090216,2009-02-16,7.45,5.63,NULL,6.55,6.85,NULL
20090223,2009-02-23,7.38,5.75,NULL,6.55,6.85,NULL
20090302,2009-03-02,7.43,5.8,NULL,6.63,6.93,NULL
20090312,2009-03-12,7.35,5.68,NULL,6.5,6.8,NULL
20090416,2009-04-16,7.53,5.98,NULL,6.85,7.1,NULL
20090429,2009-04-29,7.65,6.48,NULL,7.4,7.43,NULL
20090504,2009-05-04,7.7,6.6,NULL,7.15,7.35,NULL
20090507,2009-05-07,7.73,NULL,NULL,7.2,7.43,NULL
20090508,2009-05-08,7.73,6.6,NULL,7.2,7.43,NULL
20090512,2009-05-12,7.78,6.6,NULL,7.25,7.48,NULL
20090602,2009-06-02,7.85,6.73,NULL,7.28,7.48,NULL
20090610,2009-06-10,7.93,5.85,NULL,7.4,7.63,NULL
20090701,2009-07-01,8.05,5.93,NULL,7.5,7.7,NULL
20090703,2009-07-03,8.08,5.96,NULL,7.53,7.74,NULL
20090715,2009-07-15,8.08,5.96,NULL,7.53,7.74,NULL
20090728,2009-07-28,8.13,6.99,NULL,7.58,7.79,NULL
20090804,2009-08-04,8.2,6.99,NULL,7.65,7.89,NULL
20090805,2009-08-05,8.2,6.99,NULL,7.65,7.89,NULL
20090812,2009-08-12,8.33,7.06,NULL,7.73,7.96,NULL
20090813,2009-08-13,8.55,7.1,NULL,7.93,8.2,NULL
20090825,2009-08-25,8.59,7.18,NULL,7.95,8.22,NULL
20090826,2009-08-26,8.61,7.18,NULL,8.03,8.3,NULL
20090831,2009-08-31,8.61,7.18,NULL,8.03,8.3,NULL
20090903,2009-09-03,8.61,7.18,NULL,8.03,8.3,NULL
20090908,2009-09-08,8.61,7.18,NULL,8.03,8.3,NULL
20090915,2009-09-15,8.64,7.24,NULL,8.07,8.34,NULL
20090916,2009-09-16,8.64,7.24,NULL,8.07,8.34,NULL
20090917,2009-09-17,8.66,7.34,NULL,8.12,8.37,NULL
20090929,2009-09-29,8.66,7.34,NULL,8.12,8.37,NULL
20091027,2009-10-27,8.81,7.59,NULL,8.25,8.49,NULL
20091028,2009-10-28,8.94,7.76,NULL,8.34,8.58,NULL
20091106,2009-11-06,9.06,7.88,NULL,8.43,8.68,NULL
20091123,2009-11-23,9.21,8.1,NULL,8.58,8.8,NULL
20091125,2009-11-25,9.27,8.32,NULL,8.8,8.97,NULL
20091127,2009-11-27,9.37,8.4,NULL,8.8,9,NULL
20091130,2009-11-30,9.37,8.4,NULL,8.8,9,NULL
20091201,2009-12-01,9.84,8.9,NULL,9.27,9.47,NULL
20091202,2009-12-02,10.04,9.15,NULL,9.5,9.65,NULL
20091207,2009-12-07,10.04,9.15,NULL,9.5,9.65,NULL
20091211,2009-12-11,10.02,9.15,NULL,9.5,9.65,NULL
20091217,2009-12-17,10.31,9.6,NULL,9.85,9.98,NULL
20091225,2009-12-25,10.31,9.72,NULL,9.92,10.02,NULL
20100111,2010-01-11,10.32,9.97,NULL,10.1,10.15,NULL
20100317,2010-03-17,10.32,9.97,NULL,10.1,10.15,NULL
20100324,2010-03-24,10.32,10.1,NULL,10.1,10.15,NULL
20100416,2010-04-16,10.57,10.22,NULL,10.4,10.5,NULL
20100420,2010-04-20,11.15,10.96,NULL,11.09,11.17,NULL
20100421,2010-04-21,11.4,11.09,NULL,11.29,11.43,NULL
20100705,2010-07-05,11.33,11.09,NULL,11.26,11.35,NULL
20100707,2010-07-07,11.3,11.09,NULL,11.26,11.28,NULL
20100910,2010-09-10,11.23,11.05,NULL,11.23,11.23,NULL
20101012,2010-10-12,11.23,10.93,NULL,11.23,11.23,NULL
20101019,2010-10-19,11,10.88,NULL,11,11,NULL
20101108,2010-11-08,11.5,11.38,NULL,11.5,11.5,NULL
20101111,2010-11-11,12,12,NULL,12,12,NULL
20101208,2010-12-08,12.38,12.38,NULL,12.38,12.25,NULL
20101209,2010-12-09,12.75,12.75,NULL,12.75,12.63,NULL
20101214,2010-12-14,13.25,13.88,NULL,13.88,13.25,NULL
20101221,2010-12-21,13,13.88,NULL,13.88,12.75,NULL
20101230,2010-12-30,13.13,13.88,NULL,14,12.88,NULL
20110124,2011-01-24,13.38,13.88,NULL,14,13.38,NULL
20110304,2011-03-04,13.88,13.88,NULL,14,13.88,NULL
20110523,2011-05-23,13.88,14,NULL,14,14,NULL
20110602,2011-06-02,14,14,NULL,14,14,NULL
20111003,2011-10-03,14,14,NULL,14,14,NULL
20111124,2011-11-24,14,14,NULL,14,14,NULL
20120313,2012-03-13,13.75,13.75,NULL,14,14,NULL
20120315,2012-03-15,13.25,13.25,NULL,13.33,13.33,NULL
20120320,2012-03-20,13,13,NULL,13,13,NULL
20120412,2012-04-12,12.5,12.5,NULL,12.33,12.33,NULL
20120417,2012-04-17,12.25,12.25,NULL,12,12,NULL
20120516,2012-05-16,12,12,NULL,12,12,NULL
20120528,2012-05-28,11.75,11.75,NULL,11.75,11.75,NULL
20120531,2012-05-31,11,10.75,NULL,11,11,NULL
20120626,2012-06-26,10.5,9,NULL,9,9,NULL
20121211,2012-12-11,10.75,8.75,NULL,9,9,NULL
20121213,2012-12-13,10.55,8.75,NULL,9,9,NULL
20121219,2012-12-19,10.5,8.75,NULL,9,9,NULL
20121224,2012-12-24,10.5,8.5,NULL,8.75,8.75,NULL
20121226,2012-12-26,10.28,8,NULL,8.25,8.25,NULL
20130102,2013-01-02,10.15,7.75,NULL,8,8,NULL
20130108,2013-01-08,10.15,7.75,NULL,8,8,NULL
20130118,2013-01-18,10.15,7.75,NULL,8,8,NULL
20130121,2013-01-21,10.15,7.75,NULL,8,8,NULL
20130123,2013-01-23,10.15,7.75,NULL,8,8,NULL
20130125,2013-01-25,10.15,7.75,NULL,8,8,NULL
20130131,2013-01-31,10.15,7.75,NULL,8,8,NULL
20130207,2013-02-07,10.15,7.75,NULL,8,8,NULL
20130325,2013-03-25,9.75,7.38,NULL,7.88,8,NULL
20130513,2013-05-13,8,6.25,NULL,7.08,7.13,NULL
20130514,2013-05-14,8,6.13,NULL,6.95,7,NULL
20130626,2013-06-26,8.38,6,NULL,7.08,7.13,NULL
20130716,2013-07-16,7.75,5.38,NULL,6.89,6.95,NULL
20130805,2013-08-05,7.63,5.25,NULL,6.89,7,NULL
20130823,2013-08-23,7.75,5.38,NULL,6.95,7,NULL
20130917,2013-09-17,7.75,5.38,NULL,6.83,6.94,NULL
20140207,2014-02-07,7.88,5.88,NULL,6.76,7,NULL
20140328,2014-03-28,7.75,5.83,NULL,6.31,6.75,NULL
20140421,2014-04-21,7.88,5.95,NULL,6.56,6.88,NULL
