id_date,date,FDI_giai_ngan,FDI_dang_ky,FDI_cap_moi,FDI_tang_them,FDI_gop_von,FDI_du_an_cap_moi,FDI_du_an_tang_them,FDI_du_an_gop_von,FDI_nk,FDI_xk_incld_dauTho,FDI_xk_ko_dauTho
20060131,2006-01-31,0,444,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL
20060228,2006-02-28,0,936.4000244140625,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL
20060331,2006-03-31,0,669.5999755859375,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL
20060430,2006-04-30,1490,250,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL
20060531,2006-05-31,0,100,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL
20060630,2006-06-30,0,450,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL
20060731,2006-07-31,0,570,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL
20060831,2006-08-31,0,680,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL
20060930,2006-09-30,0,1050,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL
20061031,2006-10-31,0,1350,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL
20061130,2006-11-30,0,1800,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL
20061231,2006-12-31,2573.793701171875,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL
20070131,2007-01-31,0,350,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL
20070228,2007-02-28,0,392.20001220703125,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL
20070331,2007-03-31,1062.5,1667.800048828125,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL
20070430,2007-04-30,0,1000,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL
20070531,2007-05-31,0,890,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL
20070630,2007-06-30,1137.5,500,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL
20070731,2007-07-31,0,1000,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL
20070831,2007-08-31,0,2520,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL
20070930,2007-09-30,1131.25,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL
20071031,2007-10-31,0,2940,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL
20071130,2007-11-30,768.75,3740,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL
20071231,2007-12-31,531.25,5300,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL
20080131,2008-01-31,0,1720,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL
20080229,2008-02-29,1080,930,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL
20080331,2008-03-31,600,2790,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL
20080430,2008-04-30,1470,2160,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL
20080531,2008-05-31,800,7700,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL
20080630,2008-06-30,0,16300,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL
20080731,2008-07-31,2050,13700,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL
20080831,2008-08-31,1000,1900,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL
20080930,2008-09-30,1100,9900,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL
20081031,2008-10-31,1000,2200,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL
20081130,2008-11-30,1000,800,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL
20081231,2008-12-31,1400,3900,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL
20090228,2009-02-28,0,5300,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL
20090331,2009-03-31,0,700,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL
20090430,2009-04-30,2200,400,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL
20090531,2009-05-31,600,300,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL
20090630,2009-06-30,1200,2200,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL
