id_date,date,khachqte_all,khachqte_trans_airline,khachqte_trans_sea,khachqte_trans_car,khachqte_geo_Asia,khachqte_geo_Asia_1,khachqte_geo_Asia_2,khachqte_geo_Asia_3,khachqte_geo_Asia_4,khachqte_geo_Asia_5,khachqte_geo_Asia_6,khachqte_geo_Asia_7,khachqte_geo_Asia_8,khachqte_geo_Asia_9,khachqte_geo_Asia_10,khachqte_geo_Asia_11,khachqte_geo_Asia_12,khachqte_geo_Asia_13,khachqte_geo_Americas,khachqte_geo_Americas_1,khachqte_geo_Americas_2,khachqte_geo_Americas_3,khachqte_geo_Europe,khachqte_geo_Europe_1,khachqte_geo_Europe_2,khachqte_geo_Europe_3,khachqte_geo_Europe_4,khachqte_geo_Europe_5,khachqte_geo_Europe_6,khachqte_geo_Europe_7,khachqte_geo_Europe_8,khachqte_geo_Europe_9,khachqte_geo_Europe_10,khachqte_geo_Europe_11,khachqte_geo_Europe_12,khachqte_geo_Europe_13,khachqte_geo_Europe_14,khachqte_geo_Oceania,khachqte_geo_Oceania_1,khachqte_geo_Oceania_2,khachqte_geo_Oceania_3,khachqte_geo_Africa
20210131,2021-01-31,16276,9449,43,6784,14506,6638,3292,776,1125,106,301,73,44,62,1468,43,NULL,578,408,253,73,82,1155,155,135,126,65,41,32,63,19,22,10,17,4,18,448,89,78,11,NULL,118
20210228,2021-02-28,10950,7248,17,3685,8956,3020,2734,775,402,95,282,41,18,137,940,64,NULL,609,404,266,50,88,1360,129,163,162,97,49,48,78,19,38,9,34,20,7,448,136,124,12,NULL,94
20210331,2021-03-31,10950,7248,17,3685,8956,3020,2734,775,402,95,282,41,18,137,940,64,NULL,448,404,266,50,88,1360,129,163,162,97,49,48,78,19,38,9,34,20,7,507,136,124,12,NULL,94
20210430,2021-04-30,19471,11865,26,7580,17551,9098,3766,1016,1607,127,229,67,140,107,708,55,3,467,437,266,56,115,1213,167,115,120,115,38,30,70,19,23,8,20,10,6,628,125,107,17,1,145
20210531,2021-05-31,19471,11865,26,7580,17551,9098,3766,1016,1607,127,229,67,140,107,708,55,3,628,437,266,56,115,1213,167,115,120,115,38,30,70,19,23,8,20,10,6,472,125,107,17,1,145
20210630,2021-06-30,7203,5158,23,2022,6001,2558,1470,582,531,82,118,33,19,109,270,49,NULL,371,278,187,22,69,790,51,71,45,46,21,33,54,3,3,12,14,3,6,180,58,41,17,NULL,76
20210731,2021-07-31,7473,5765,20,1688,5987,2776,1196,380,655,76,209,59,16,78,340,26,NULL,180,427,276,50,101,871,38,130,68,51,33,29,51,7,9,5,12,1,5,176,102,84,18,NULL,86
20210831,2021-08-31,9299,7291,39,1969,6948,3238,1446,462,440,66,343,27,5,84,526,34,NULL,176,602,466,60,76,1552,121,345,241,153,32,55,54,15,29,16,13,9,6,277,82,55,26,1,115
20210930,2021-09-30,9503,6826,123,2554,7728,3082,2081,344,383,32,161,20,303,61,962,24,1,277,510,408,23,79,1101,77,112,179,101,35,31,47,8,20,13,14,3,7,274,77,70,7,NULL,87
20211031,2021-10-31,10555,8456,101,1998,8512,3317,2298,676,516,78,225,43,17,136,711,43,1,274,332,165,36,131,1462,101,132,138,86,68,58,85,9,35,14,21,6,13,451,74,63,11,NULL,175
20211130,2021-11-30,15030,12534,7,2489,12117,4469,2962,1325,859,137,347,100,66,156,843,59,NULL,451,502,301,44,157,2118,168,178,309,166,111,NULL,140,27,44,19,50,20,13,794,138,110,20,8,155
20211231,2021-12-31,17163,14458,108,2597,13915,4196,4116,1311,1446,171,294,89,17,142,1274,58,NULL,801,934,663,89,182,2038,190,160,233,146,85,81,113,22,44,12,37,27,12,801,130,112,14,4,146
20220131,2022-01-31,17163,14458,108,2597,13915,4196,4116,1311,1446,171,294,89,17,142,1274,58,NULL,182,934,663,89,NULL,2038,190,160,233,146,85,81,113,22,44,12,37,27,12,876,130,112,14,4,146
20220228,2022-02-28,29517,25875,18,3624,18876,4031,5079,1587,2899,458,477,310,728,218,1817,100,2,1815,3600,2966,430,204,5793,2107,481,629,759,129,164,143,81,71,73,77,NULL,24,1170,1127,1080,40,7,121
20220331,2022-03-31,29517,25875,18,3624,18876,4031,5079,1587,2899,458,477,310,728,218,1817,100,2,1170,3600,2966,430,204,5793,2107,481,629,759,129,164,143,81,71,73,77,NULL,24,1055,1127,1080,40,7,121
20220430,2022-04-30,101373,88036,28,13309,59800,7623,14025,4258,4375,2682,2407,5279,8316,1273,1996,650,3,1170,15527,12998,1935,594,19563,1077,3699,3315,3672,539,936,750,539,614,441,379,463,161,6913,6025,5716,303,6,458
20220531,2022-05-31,101373,88036,28,13309,59800,7623,14025,4258,4375,2682,2407,5279,8316,1273,1996,650,3,6913,15527,12998,1935,594,19563,1077,3699,3315,3672,539,936,750,539,614,441,379,463,161,2978,6025,5716,303,6,458
20220630,2022-06-30,236677,203186,29,33462,161136,10047,51363,11649,6737,10758,11116,16384,11919,3414,7401,2342,10,12929,31346,27088,2990,1268,31136,1730,6534,5162,5221,1126,1877,1297,691,741,633,641,659,433,17996,12228,11515,683,30,831
20220731,2022-07-31,352579,307127,133,45319,246214,10854,88335,17715,12465,13603,17643,16757,24576,4388,11790,3609,8,17996,40502,34832,3884,1786,46490,2113,8996,7409,8029,2021,2712,1555,1068,1759,1362,1528,1728,562,24471,18374,17201,1131,42,999
20220831,2022-08-31,486407,439528,130,46749,358562,11939,173599,25783,15346,16299,21459,17247,21575,5771,16015,3961,8,24471,43783,36544,5072,2167,65131,2793,12648,10404,10859,5397,5063,3312,795,1406,1404,1651,913,72,29560,17302,15781,1476,45,1629
